start,end
0,40
40,96
96,182
182,227
227,319
319,683
683,765
765,1326
1326,1367
1367,1400
1400,1539
1539,1653
1653,1773
1773,2353
2353,2395
2395,2432
2432,2499
2499,2549
2549,2594
2594,2669
2669,2751
2751,2832
2832,2936
2936,2981
2981,3070
3070,3118
3118,3316
3316,3359
3359,3607
3607,3711
3711,3752
3752,3813
3813,3852
3852,3911
3911,4164
4164,4291
4291,5530
5530,5597
5597,5884
5884,5978
5978,6012
6012,6070
6070,6167
6167,6203
6203,6238
6238,6279
6279,6320
6320,6355
6355,6413
6413,6474
6474,6643
6643,6713
6713,6752
6752,6793
6793,6940
6940,6976
6976,7089
7089,7193
7193,7436
7436,7846
7846,7880
7880,7960
7960,8025
8025,8153
8153,8188
8188,8224
8224,8265
8265,8332
8332,8378
8378,8445
8445,8672
8672,8710
8710,8835
8835,8885
8885,8927
8927,9011
9011,9065
9065,9128
9128,9287
9287,9329
9329,9371
9371,9430
9430,9499
9499,9534
9534,9681
9681,9739
9739,9848
9848,9883
9883,9970
9970,10023
10023,10064
10064,10132
10132,10406
10406,10524
10524,10587
10587,10638
10638,10682
10682,10725
10725,10759
10759,10830
10830,10865
10865,10906
10906,10940
10940,10974
10974,11026
11026,11084
11084,11139
11139,11245
11245,11296
11296,11375
11375,11481
11481,11582
11582,11641
11641,11709
11709,11788
11788,11900
11900,12084
12084,12134
12134,12178
12178,12232
12232,12273
12273,12344
12344,12383
12383,12417
12417,12501
12501,12553
12553,12593
12593,12670
12670,12743
12743,12820
12820,14019
14019,14071
14071,14128
14128,14224
14224,14622
14622,14697
14697,14732
14732,14898
14898,15426
15426,15468
15468,15523
15523,16128
16128,16173
16173,16206
16206,16240
16240,16327
16327,16385
16385,16528
16528,17858
17858,17893
17893,17933
17933,17968
17968,18520
18520,18555
18555,18605
18605,20698
20698,20738
20738,20784
20784,20835
20835,20886
20886,20919
20919,21483
21483,21526
21526,21745
21745,21986
21986,22043
22043,22098
22098,22336
22336,22474
22474,22509
22509,22555
22555,22632
22632,22670
22670,22713
22713,22787
22787,22844
22844,22907
22907,22945
22945,22985
22985,23031
23031,23199
23199,23239
23239,23326
23326,23361
23361,23550
23550,23588
23588,23637
23637,23773
23773,23914
23914,23997
23997,24045
24045,24102
24102,24139
24139,24210
24210,24303
24303,24376
24376,24426
24426,24462
24462,24497
24497,24546
24546,24656
24656,24706
24706,24813
24813,24878
24878,24915
24915,25083
25083,25182
25182,25263
25263,25329
25329,25368
25368,25403
25403,26526
26526,26570
26570,26656
26656,26692
26692,26728
26728,26777
26777,27034
27034,27997
27997,28044
28044,28084
28084,28255
28255,28299
28299,28441
28441,28489
28489,28558
28558,28668
28668,28715
28715,28821
28821,28862
28862,28904
28904,29120
29120,29176
29176,29218
29218,29258
29258,29352
29352,29393
29393,29456
29456,29549
29549,29588
29588,29633
29633,29696
29696,30354
30354,30422
30422,31357
31357,31596
31596,31646
31646,31720
31720,31753
31753,31796
31796,31859
31859,32006
32006,33107
33107,33142
33142,33275
33275,33359
33359,33406
33406,33450
33450,33523
33523,33641
33641,33688
33688,33723
33723,33766
33766,33799
33799,33922
33922,33998
33998,34130
34130,34298
34298,34422
34422,34511
34511,34550
34550,34585
34585,34630
34630,34672
34672,34712
34712,34870
34870,34980
34980,35190
35190,35231
35231,35289
35289,35342
35342,35395
35395,35582
35582,35616
35616,35659
35659,35804
35804,35846
35846,35966
35966,36290
36290,36329
36329,36408
36408,36459
36459,36512
36512,36602
36602,36715
36715,36792
36792,36856
36856,36892
36892,36947
36947,36988
36988,37067
37067,37333
37333,37369
37369,37407
37407,37441
37441,37507
37507,38059
38059,39017
39017,39277
39277,39340
39340,40146
40146,40207
40207,40265
40265,40368
40368,40407
40407,40597
40597,40672
40672,40737
40737,40774
40774,40893
40893,41299
41299,41336
41336,41370
41370,41439
41439,41542
41542,41666
41666,41712
41712,41758
41758,41850
41850,41911
41911,41959
41959,42085
42085,42163
42163,42202
42202,42263
42263,42724
42724,42863
42863,42921
42921,42975
42975,43016
43016,43057
43057,43201
43201,43347
43347,43451
43451,43562
43562,43743
43743,43835
43835,43920
43920,43967
43967,44002
44002,44142
44142,44239
44239,44433
44433,44552
44552,44808
44808,44852
44852,44901
44901,44963
44963,46061
46061,46156
46156,46208
46208,46659
46659,46716
46716,46752
46752,46912
46912,47002
47002,47060
47060,47107
47107,47165
47165,47199
47199,47267
47267,47498
47498,47604
47604,47648
47648,47696
47696,47850
47850,47905
47905,47943
47943,48009
48009,48142
48142,48194
48194,48228
48228,48279
48279,48675
48675,48729
48729,49143
49143,49178
49178,49218
49218,49274
49274,49377
49377,49513
49513,49566
49566,49633
49633,49693
49693,50067
50067,50141
50141,50232
50232,50279
50279,50314
50314,50434
50434,50477
50477,50516
50516,50572
50572,50651
50651,50876
50876,51071
51071,51232
51232,51282
51282,51354
51354,51437
51437,51596
51596,51639
51639,51744
51744,51928
51928,52012
52012,52206
52206,52266
52266,52338
52338,52684
52684,53096
53096,53219
53219,53252
53252,53362
53362,53478
53478,53633
53633,53683
53683,53735
53735,53769
53769,53994
53994,54556
54556,54707
54707,54839
54839,54882
54882,55185
55185,55224
55224,55270
55270,55342
55342,55390
55390,55513
55513,55559
55559,55618
55618,55652
55652,55918
55918,55953
55953,55987
55987,56021
56021,56869
56869,56926
56926,56973
56973,57050
57050,57195
57195,57256
57256,57468
57468,57514
57514,57554
57554,57929
57929,58176
58176,58212
58212,58422
58422,58524
58524,58572
58572,58638
58638,58695
58695,58791
58791,58852
58852,59051
59051,59089
59089,59159
59159,59329
59329,59384
59384,59438
59438,59472
59472,59506
59506,59544
59544,59915
59915,60022
60022,60064
60064,60306
60306,60348
60348,60413
60413,60453
60453,60553
60553,60616
60616,60686
60686,60751
60751,60824
60824,61124
61124,61248
61248,61283
61283,61382
61382,61436
61436,61477
61477,61558
61558,61630
61630,61913
61913,61947
61947,62045
62045,62080
62080,62780
62780,62844
62844,62883
62883,62937
62937,63102
63102,63156
63156,63278
63278,63325
63325,63374
63374,63415
63415,63584
63584,63709
63709,63798
63798,63874
63874,63928
63928,63964
63964,64004
64004,64062
64062,64306
64306,64391
64391,64442
64442,64475
64475,64509
64509,64555
64555,64596
64596,64687
64687,65290
65290,66334
66334,66398
66398,66434
66434,66497
66497,66562
66562,66603
66603,66650
66650,66704
66704,66745
66745,67011
67011,67049
67049,67098
67098,67169
67169,67203
67203,68084
68084,68177
68177,68293
68293,68653
68653,68698
68698,68738
68738,68783
68783,68873
68873,69021
69021,69171
69171,69214
69214,69285
69285,69319
69319,69421
69421,69498
69498,69533
69533,69575
69575,69868
69868,70080
70080,70150
70150,70248
70248,70366
70366,70414
70414,70476
70476,70516
70516,70565
70565,70645
70645,71421
71421,71462
71462,71503
71503,71552
71552,71589
71589,71636
71636,71712
71712,71819
71819,72003
72003,72590
72590,72635
72635,72684
72684,72748
72748,72951
72951,72985
72985,73112
73112,73342
73342,73425
73425,73481
73481,73527
73527,73578
73578,73619
73619,73716
73716,73810
73810,73844
73844,73896
73896,73942
73942,74029
74029,74113
74113,74176
74176,74220
74220,74294
74294,74334
74334,74383
74383,74741
74741,74780
74780,74846
74846,75550
75550,75616
75616,75759
75759,75802
75802,75874
75874,76074
76074,76138
76138,76239
76239,76442
76442,76541
76541,76718
76718,76753
76753,76810
76810,76893
76893,76944
76944,77016
77016,77065
77065,77117
77117,77150
77150,77428
77428,77492
77492,77540
77540,77671
77671,77708
77708,77746
77746,77801
77801,77901
77901,77945
77945,78607
78607,78646
78646,78679
78679,79265
79265,79325
79325,79384
79384,79428
79428,79506
79506,79601
79601,79642
79642,79826
79826,79859
79859,79981
79981,80085
80085,80148
80148,80181
80181,80220
80220,80263
80263,80337
80337,80402
80402,80437
80437,80482
80482,80525
80525,80700
80700,80947
80947,81029
81029,81103
81103,81176
81176,81498
81498,81935
81935,81992
81992,82036
82036,82097
82097,82135
82135,82185
82185,82231
82231,82321
82321,82401
82401,82457
82457,82730
82730,82768
82768,82933
82933,83114
83114,83151
83151,83255
83255,83290
83290,83370
83370,83439
83439,83493
